"Journal","ISSN","EISSN","Web of Science","IF(2025)","IF(2024)","IF变化","JCR分区(学科)","中科院大类","中科院大类分区","Top期刊","中科院小类分区"
"JOURNAL OF APPLIED COMMUNICATION RESEARCH","0090-9882","1479-5752","SSCI","1.7","1.7","0.0","Q2@COMMUNICATION","文学","3 [284/1193]","","4 [105/223]@COMMUNICATION 传播学"
"MEDICINE SCIENCE AND THE LAW","0025-8024","2042-1818","SSCI, SCIE","1.7","1.7","0.0","Q1@LAW | Q3@MEDICINE, LEGAL","医学","4 [3187/5603]","","4 [178/427]@LAW 法学 | 4 [13/23]@MEDICINE, LEGAL 医学：法"
"RHEUMATIC DISEASE CLINICS OF NORTH AMERICA","0889-857X","1558-3163","SCIE","1.7","2.9","-1.2","Q3@RHEUMATOLOGY","医学","4 [2355/5603]","","4 [27/55]@RHEUMATOLOGY 风湿病学"
"Secularism & Nonreligion","2053-6712","2053-6712","ESCI","1.7","0.8","0.9","Q2@SOCIOLOGY","社会学","1 [77/2039]","是","2 [22/216]@SOCIOLOGY 社会学"
"Theory and Research in Education","1477-8785","1741-3192","ESCI","1.7","1.1","0.6","Q2@EDUCATION & EDUCATIONAL RESEARCH","教育学","3 [202/840]","","4 [196/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Climate Change Economics","2010-0078","2010-0086","SSCI","1.7","2.4","-0.7","Q2@ECONOMICS | Q4@ENVIRONMENTAL STUDIES","经济学","4 [430/765]","","4 [363/599]@ECONOMICS 经济学 | 4 [137/183]@ENVIRONMENTAL STUDIES 环境研究"
"Electronic News","1931-2431","1931-244X","ESCI","1.7","1.4","0.3","Q2@COMMUNICATION","文学","4 [792/1193]","","4 [158/223]@COMMUNICATION 传播学"
"JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR","0021-8308","1468-5914","SSCI","1.7","1.6","0.1","Q3@PSYCHOLOGY, SOCIAL","心理学","3 [205/657]","","4 [38/76]@PSYCHOLOGY, SOCIAL 心理学：社会"
"Scandinavian Journal of Occupational Therapy","1103-8128","1651-2014","SCIE, SSCI","1.7","1.3","0.4","Q2@REHABILITATION","医学","3 [1963/5603]","","3 [51/169]@REHABILITATION 康复医学"
"Stigma and Health","2376-6972","2376-6964","ESCI","1.7","2.2","-0.5","Q3@PSYCHOLOGY, SOCIAL | Q3@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","3 [1522/5603]","","3 [109/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生 | 4 [39/76]@PSYCHOLOGY, SOCIAL 心理学：社会"
"International Journal of Computerized Dentistry","1463-4201","1463-4201","SCIE","1.7","2","-0.3","Q3@DENTISTRY, ORAL SURGERY & MEDICINE","医学","4 [3181/5603]","","4 [94/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"PHILOSOPHICAL PSYCHOLOGY","0951-5089","1465-394X","SSCI","1.7","2.1","-0.4","Q2@ETHICS | Q2@PSYCHOLOGY, MULTIDISCIPLINARY","哲学","3 [176/795]","","4 [36/77]@ETHICS 伦理学 | 4 [96/219]@PSYCHOLOGY, MULTIDISCIPLINARY 心理学：综合"
"ARTS IN PSYCHOTHERAPY","0197-4556","1873-5878","SSCI","1.7","1.5","0.2","Q3@PSYCHOLOGY, CLINICAL | Q2@REHABILITATION","心理学","4 [339/657]","","3 [65/169]@REHABILITATION 康复医学 | 4 [94/179]@PSYCHOLOGY, CLINICAL 心理学：临床"
"Civil Wars","1369-8249","1743-968X","ESCI","1.7","0.9","0.8","Q2@POLITICAL SCIENCE","社会学","2 [249/2039]","","3 [93/317]@POLITICAL SCIENCE 政治学"
"CLINICAL HEMORHEOLOGY AND MICROCIRCULATION","1386-0291","1875-8622","SCIE","1.7","","","Q3@HEMATOLOGY | Q3@PERIPHERAL VASCULAR DISEASE","医学","4 [2484/5603]","","4 [47/96]@HEMATOLOGY 血液学 | 4 [50/96]@PERIPHERAL VASCULAR DISEASE 外周血管病"
"Inland Waters","2044-2041","2044-205X","SCIE","1.7","2.3","-0.6","Q3@LIMNOLOGY | Q3@MARINE & FRESHWATER BIOLOGY","环境科学与生态学","3 [199/504]","","2 [6/21]@LIMNOLOGY 湖沼学 | 3 [35/118]@MARINE & FRESHWATER BIOLOGY 海洋与淡水生物学"
"International Journal of Differential Equations","1687-9643","1687-9651","ESCI","1.7","1.5","0.2","Q2@MATHEMATICS, APPLIED","数学","4 [688/815]","","4 [284/330]@MATHEMATICS, APPLIED 应用数学"
"Journal of Computational and Theoretical Transport","2332-4309","2332-4325","SCIE","1.7","1.1","0.6","Q2@MATHEMATICS, APPLIED | Q2@PHYSICS, MATHEMATICAL","工程技术","4 [772/1437]","","4 [274/330]@MATHEMATICS, APPLIED 应用数学 | 4 [49/60]@PHYSICS, MATHEMATICAL 物理：数学物理"
"Traumatology","N/A","1085-9373","ESCI","1.7","71.5","-69.8","Q3@PSYCHIATRY | Q3@PSYCHOLOGY, CLINICAL | Q2@PSYCHOLOGY, MULTIDISCIPLINARY","医学","4 [2383/5603]","","4 [133/277]@PSYCHIATRY 精神病学 | 4 [93/179]@PSYCHOLOGY, CLINICAL 心理学：临床 | 4 [103/219]@PSYCHOLOGY, MULTIDISCIPLINARY 心理学：综合"
"Australian Journal of Language and Literacy","1038-1562","1839-4728","ESCI","1.7","1.1","0.6","Q2@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [314/840]","","4 [295/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Journal of Forensic and Legal Medicine","1752-928X","1532-2009","SCIE","1.7","1.2","0.5","Q3@MEDICINE, LEGAL","医学","4 [3280/5603]","","4 [15/23]@MEDICINE, LEGAL 医学：法"
"Journal of International and Intercultural Communication","1751-3057","1751-3065","ESCI","1.7","2.2","-0.5","Q2@COMMUNICATION","文学","2 [91/1193]","","3 [39/223]@COMMUNICATION 传播学"
"ACTA ODONTOLOGICA SCANDINAVICA","0001-6357","1502-3850","SCIE","1.7","1.9","-0.2","Q3@DENTISTRY, ORAL SURGERY & MEDICINE","医学","4 [3321/5603]","","4 [99/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"DISCOURSE PROCESSES","0163-853X","1532-6950","SSCI","1.7","2.1","-0.4","Q3@PSYCHOLOGY, EDUCATIONAL | Q3@PSYCHOLOGY, EXPERIMENTAL","心理学","2 [101/657]","","2 [16/99]@PSYCHOLOGY, EXPERIMENTAL 心理学：实验 | 3 [25/74]@PSYCHOLOGY, EDUCATIONAL 心理学：教育"
"European Early Childhood Education Research Journal","1350-293X","1752-1807","SSCI","1.7","1.4","0.3","Q2@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [309/840]","","4 [289/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"International Journal for Educational and Vocational Guidance","1873-0388","1573-1782","SSCI","1.7","1.7","0.0","Q2@EDUCATION & EDUCATIONAL RESEARCH | Q3@PSYCHOLOGY, APPLIED","教育学","4 [395/840]","","4 [367/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究 | 4 [73/112]@PSYCHOLOGY, APPLIED 心理学：应用"
"International Journal of Qualitative Studies in Education","0951-8398","1366-5898","ESCI","1.7","1.5","0.2","Q2@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [293/840]","","4 [275/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Journal of Sport Rehabilitation","1056-6716","1543-3072","SCIE","1.7","1.5","0.2","Q2@REHABILITATION | Q3@SPORT SCIENCES","医学","4 [3087/5603]","","4 [92/169]@REHABILITATION 康复医学 | 4 [77/126]@SPORT SCIENCES 运动科学"
"Open Access Emergency Medicine","1179-1500","1179-1500","ESCI","1.7","1.5","0.2","Q2@EMERGENCY MEDICINE","医学","4 [2718/5603]","","4 [20/54]@EMERGENCY MEDICINE 急救医学"
"Astin Bulletin-The Journal of the International Actuarial Association","0515-0361","1783-1350","SSCI, SCIE","1.7","1.8","-0.1","Q2@ECONOMICS | Q3@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS | Q3@SOCIAL SCIENCES, MATHEMATICAL METHODS | Q2@STATISTICS & PROBABILITY","经济学","3 [153/765]","","2 [22/136]@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用 | 2 [12/67]@SOCIAL SCIENCES, MATHEMATICAL METHODS 社会科学：数理方法 | 2 [25/166]@STATISTICS & PROBABILITY 统计学与概率论 | 3 [141/599]@ECONOMICS 经济学"
"European Journal of Orthopaedic Surgery and Traumatology","1633-8065","1432-1068","ESCI","1.7","1.5","0.2","Q3@ORTHOPEDICS | Q3@SURGERY","医学","4 [2872/5603]","","4 [77/136]@ORTHOPEDICS 骨科 | 4 [151/292]@SURGERY 外科"
"Nurse Leader","1541-4612","1541-4620","ESCI","1.7","1.4","0.3","Q3@NURSING","医学","4 [3394/5603]","","4 [99/191]@NURSING 护理"
"OCULAR IMMUNOLOGY AND INFLAMMATION","0927-3948","1744-5078","SCIE","1.7","2","-0.3","Q3@OPHTHALMOLOGY","医学","4 [2621/5603]","","3 [41/95]@OPHTHALMOLOGY 眼科学"
"Quality Education for All","N/A","2976-9310","ESCI","1.7","71.5","-69.8","Q2@EDUCATION & EDUCATIONAL RESEARCH","","","",""
"REVIEW OF PALAEOBOTANY AND PALYNOLOGY","0034-6667","1879-0615","SCIE","1.7","1.7","0.0","Q2@PALEONTOLOGY | Q3@PLANT SCIENCES","地球科学","3 [148/575]","","2 [12/57]@PALEONTOLOGY 古生物学 | 2 [61/265]@PLANT SCIENCES 植物科学"
"INTERNATIONAL OPHTHALMOLOGY","0165-5701","1573-2630","SCIE","1.7","1.4","0.3","Q3@OPHTHALMOLOGY","医学","4 [3224/5603]","","4 [56/95]@OPHTHALMOLOGY 眼科学"
"JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION","1552-5007","1552-5015","SCIE","1.7","1.7","0.0","Q3@DEVELOPMENTAL BIOLOGY | Q4@EVOLUTIONARY BIOLOGY | Q2@ZOOLOGY","生物学","4 [534/1091]","","3 [19/39]@DEVELOPMENTAL BIOLOGY 发育生物学 | 3 [62/179]@ZOOLOGY 动物学 | 4 [43/52]@EVOLUTIONARY BIOLOGY 进化生物学"
"JOURNAL OF GENERAL PSYCHOLOGY","0022-1309","1940-0888","SSCI","1.7","1.5","0.2","Q2@PSYCHOLOGY, MULTIDISCIPLINARY","心理学","4 [410/657]","","4 [126/219]@PSYCHOLOGY, MULTIDISCIPLINARY 心理学：综合"
"Science of Nature","0028-1042","1432-1904","SCIE","1.7","2.1","-0.4","Q2@MULTIDISCIPLINARY SCIENCES","生物学","3 [328/1091]","","3 [30/131]@MULTIDISCIPLINARY SCIENCES 综合性期刊"
"CALICO Journal","2056-9017","2056-9017","ESCI","1.7","2.1","-0.4","Q2@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [342/840]","","4 [320/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Clinical Medicine Insights-Pediatrics","1179-5565","1179-5565","ESCI","1.7","1.2","0.5","Q3@PEDIATRICS","医学","4 [3467/5603]","","4 [103/185]@PEDIATRICS 儿科"
"FETAL DIAGNOSIS AND THERAPY","1015-3837","1421-9964","SCIE","1.7","1.6","0.1","Q3@OBSTETRICS & GYNECOLOGY","医学","3 [1960/5603]","","3 [47/135]@OBSTETRICS & GYNECOLOGY 妇产科学"
"GEOLOGICA BELGICA","1374-8505","2034-1954","SCIE","1.7","0.7","1.0","Q2@GEOLOGY","地球科学","4 [380/575]","","4 [30/61]@GEOLOGY 地质学"
"International Journal of Communication","1932-8036","1932-8036","SSCI","1.7","1.5","0.2","Q2@COMMUNICATION","文学","2 [247/1193]","","4 [99/223]@COMMUNICATION 传播学"
"Jornal Brasileiro de Reproducao Assistida","1517-5693","1518-0557","ESCI","1.7","1.9","-0.2","Q3@OBSTETRICS & GYNECOLOGY","医学","4 [3590/5603]","","4 [91/135]@OBSTETRICS & GYNECOLOGY 妇产科学"
"JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH","1341-8076","1447-0756","SCIE","1.7","1.5","0.2","Q3@OBSTETRICS & GYNECOLOGY","医学","4 [3039/5603]","","4 [78/135]@OBSTETRICS & GYNECOLOGY 妇产科学"
"Asia-Pacific Journal of Sports Medicine Arthroscopy Rehabilitation and Technology","2214-6873","2214-6873","ESCI","1.7","1.4","0.3","Q3@ORTHOPEDICS | Q3@SPORT SCIENCES","医学","4 [2887/5603]","","4 [79/136]@ORTHOPEDICS 骨科 | 4 [73/126]@SPORT SCIENCES 运动科学"
"ENVIRONMETRICS","1180-4009","1099-095X","SCIE","1.7","1.7","0.0","Q4@ENVIRONMENTAL SCIENCES | Q3@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS | Q2@STATISTICS & PROBABILITY","环境科学与生态学","3 [185/504]","","3 [155/357]@ENVIRONMENTAL SCIENCES 环境科学 | 3 [50/136]@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用 | 3 [52/166]@STATISTICS & PROBABILITY 统计学与概率论"
"International Journal of Health Governance","2059-4631","2059-4631","ESCI","1.7","1.9","-0.2","Q4@HEALTH POLICY & SERVICES","医学","4 [4357/5603]","","4 [111/118]@HEALTH POLICY & SERVICES 卫生政策与服务"
"JOURNAL OF DENTAL EDUCATION","0022-0337","1930-7837","SCIE","1.7","1.6","0.1","Q3@DENTISTRY, ORAL SURGERY & MEDICINE","医学","4 [3186/5603]","","4 [95/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"JOURNAL OF GERONTOLOGICAL SOCIAL WORK","1540-4048","0163-4372","SSCI","1.7","1.5","0.2","Q3@GERONTOLOGY | Q2@SOCIAL WORK","医学","4 [3390/5603]","","4 [31/48]@GERONTOLOGY 老年医学（社科） | 4 [56/91]@SOCIAL WORK 社会工作"
"Journal of International Society of Preventive and Community Dentistry","2231-0762","2250-1002","ESCI","1.7","2.1","-0.4","Q3@DENTISTRY, ORAL SURGERY & MEDICINE","医学","4 [3899/5603]","","4 [107/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"SUBSTANCE USE & MISUSE","1082-6084","1532-2491","SCIE, SSCI","1.7","1.7","0.0","Q3@PSYCHIATRY | Q3@PSYCHOLOGY | Q3@SUBSTANCE ABUSE","医学","4 [2649/5603]","","4 [151/277]@PSYCHIATRY 精神病学 | 4 [50/92]@PSYCHOLOGY 心理学 | 4 [33/56]@SUBSTANCE ABUSE 药物滥用"
"International Journal for Academic Development","1360-144X","1470-1324","SSCI","1.7","1.4","0.3","Q2@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [392/840]","","4 [365/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Veterinary Record Open","2399-2050","2052-6113","ESCI","1.7","1.1","0.6","Q2@VETERINARY SCIENCES","农林科学","3 [332/904]","","3 [72/167]@VETERINARY SCIENCES 兽医学"
"Cleft Palate Craniofacial Journal","1055-6656","1545-1569","SCIE","1.7","1.3","0.4","Q3@DENTISTRY, ORAL SURGERY & MEDICINE | Q3@SURGERY","医学","4 [2693/5603]","","4 [77/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科 | 4 [141/292]@SURGERY 外科"
"Defence and Security Analysis","1475-1798","1475-1801","ESCI","1.7","1.1","0.6","Q2@INTERNATIONAL RELATIONS","社会学","4 [786/2039]","","4 [97/165]@INTERNATIONAL RELATIONS 国际关系学"
"IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION","0361-1434","1558-1500","SSCI","1.7","1.8","-0.1","Q2@COMMUNICATION","文学","2 [198/1193]","","4 [83/223]@COMMUNICATION 传播学"
"Journal of Child and Adolescent Mental Health","1728-0583","1728-0591","ESCI","1.7","1","0.7","Q3@PSYCHOLOGY, CLINICAL","心理学","4 [649/657]","","4 [177/179]@PSYCHOLOGY, CLINICAL 心理学：临床"
"REPRODUCTION IN DOMESTIC ANIMALS","0936-6768","1439-0531","SCIE","1.7","1.7","0.0","Q3@AGRICULTURE, DAIRY & ANIMAL SCIENCE | Q4@REPRODUCTIVE BIOLOGY | Q2@VETERINARY SCIENCES","农林科学","3 [287/904]","","3 [24/80]@AGRICULTURE, DAIRY & ANIMAL SCIENCE 奶制品与动物科学 | 3 [62/167]@VETERINARY SCIENCES 兽医学 | 4 [27/39]@REPRODUCTIVE BIOLOGY 生殖生物学"
"AORN JOURNAL","0001-2092","1878-0369","SCIE, SSCI","1.7","1.1","0.6","Q3@NURSING","医学","4 [3523/5603]","","4 [106/191]@NURSING 护理"
"LEARNING & MEMORY","1072-0502","1549-5485","SCIE","1.7","2.2","-0.5","Q4@NEUROSCIENCES","医学","4 [2980/5603]","","4 [217/309]@NEUROSCIENCES 神经科学"
"SECOND LANGUAGE RESEARCH","0267-6583","1477-0326","SSCI","1.7","1.3","0.4","Q2@EDUCATION & EDUCATIONAL RESEARCH | Q2@LINGUISTICS","文学","2 [87/1193]","是","3 [135/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究 | 3 [57/294]@LINGUISTICS 语言学"
"Sexual Health & Compulsivity","2692-9953","2692-9996","ESCI","1.7","1.2","0.5","Q3@PSYCHOLOGY, CLINICAL","心理学","4 [541/657]","","4 [151/179]@PSYCHOLOGY, CLINICAL 心理学：临床"
"Spine Deformity","2212-134X","2212-1358","ESCI","1.7","1.8","-0.1","Q3@CLINICAL NEUROLOGY | Q3@ORTHOPEDICS","医学","4 [2824/5603]","","4 [165/278]@CLINICAL NEUROLOGY 临床神经病学 | 4 [75/136]@ORTHOPEDICS 骨科"
"Chinese Neurosurgical Journal","N/A","2057-4967","ESCI","1.7","71.5","-69.8","Q3@CLINICAL NEUROLOGY | Q3@SURGERY","","","",""
"PLASMA SCIENCE & TECHNOLOGY","1009-0630","2058-6272","SCIE","1.7","1.8","-0.1","Q3@PHYSICS, FLUIDS & PLASMAS","物理与天体物理","3 [163/406]","","4 [21/40]@PHYSICS, FLUIDS & PLASMAS 物理：流体与等离子体"
"POLITICAL THEORY","0090-5917","1552-7476","SSCI","1.7","1","0.7","Q2@POLITICAL SCIENCE","社会学","2 [145/2039]","","3 [66/317]@POLITICAL SCIENCE 政治学"
"READING TEACHER","0034-0561","1936-2714","SSCI","1.7","1.5","0.2","Q2@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [313/840]","","4 [294/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Australian Endodontic Journal","1329-1947","1747-4477","SCIE","1.7","1.5","0.2","Q3@DENTISTRY, ORAL SURGERY & MEDICINE","医学","4 [3204/5603]","","4 [96/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"DOMESTIC ANIMAL ENDOCRINOLOGY","0739-7240","1879-0054","SCIE","1.7","2.1","-0.4","Q3@AGRICULTURE, DAIRY & ANIMAL SCIENCE | Q4@ENDOCRINOLOGY & METABOLISM","农林科学","2 [177/904]","","2 [15/80]@AGRICULTURE, DAIRY & ANIMAL SCIENCE 奶制品与动物科学 | 4 [90/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"International Journal of Mathematical Engineering and Management Sciences","2455-7749","2455-7749","ESCI","1.7","1.5","0.2","Q3@ENGINEERING, MULTIDISCIPLINARY | Q2@MATHEMATICS, APPLIED | Q3@OPERATIONS RESEARCH & MANAGEMENT SCIENCE","管理学","4 [814/1025]","","4 [91/179]@ENGINEERING, MULTIDISCIPLINARY 工程：综合 | 4 [310/330]@MATHEMATICS, APPLIED 应用数学 | 4 [100/106]@OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学"
"JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE","1078-4659","1550-5022","SSCI","1.7","1.9","-0.2","Q3@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","4 [2871/5603]","","4 [222/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Journal of the European Optical Society-Rapid Publications","1990-2573","1990-2573","SCIE","1.7","3.2","-1.5","Q3@OPTICS","物理与天体物理","4 [237/406]","","4 [81/119]@OPTICS 光学"
"THEORETICAL MEDICINE AND BIOETHICS","1386-7415","1573-1200","SSCI","1.7","1.5","0.2","Q2@ETHICS | Q2@SOCIAL ISSUES | Q3@SOCIAL SCIENCES, BIOMEDICAL","哲学","3 [335/795]","","4 [53/77]@ETHICS 伦理学 | 4 [40/66]@SOCIAL ISSUES 社会问题 | 4 [36/46]@SOCIAL SCIENCES, BIOMEDICAL 社会科学：生物医学"
"Arthropod-Plant Interactions","1872-8855","1872-8847","SCIE","1.7","1.3","0.4","Q2@ENTOMOLOGY","农林科学","3 [361/904]","","4 [58/109]@ENTOMOLOGY 昆虫学"
"INSECTES SOCIAUX","0020-1812","1420-9098","SCIE","1.7","1.5","0.2","Q2@ENTOMOLOGY","农林科学","3 [356/904]","","4 [55/109]@ENTOMOLOGY 昆虫学"
"Journal of Spectroscopy","2314-4920","2314-4939","SCIE","1.7","2.1","-0.4","Q4@BIOCHEMICAL RESEARCH METHODS | Q3@SPECTROSCOPY","化学","3 [239/490]","","4 [62/85]@BIOCHEMICAL RESEARCH METHODS 生化研究方法 | 4 [28/43]@SPECTROSCOPY 光谱学"
"Moravian Geographical Reports","1210-8812","2199-6202","SSCI","1.7","1.6","0.1","Q2@GEOGRAPHY","社会学","3 [719/2039]","","4 [69/171]@GEOGRAPHY 地理学"
"Oral Health & Preventive Dentistry","1602-1622","1757-9996","SCIE","1.7","1.4","0.3","Q3@DENTISTRY, ORAL SURGERY & MEDICINE","医学","4 [3634/5603]","","4 [102/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"SCANDINAVIAN JOURNAL OF PUBLIC HEALTH","1403-4948","1651-1905","SCIE, SSCI","1.7","2.1","-0.4","Q3@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","4 [2485/5603]","","4 [195/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Tripodos","1138-3305","2340-5007","ESCI","1.7","0.3","1.4","Q2@COMMUNICATION","文学","4 [1145/1193]","","4 [200/223]@COMMUNICATION 传播学"
"BRAIN & DEVELOPMENT","0387-7604","1872-7131","SCIE","1.7","1.3","0.4","Q3@CLINICAL NEUROLOGY | Q3@PEDIATRICS","医学","4 [3620/5603]","","4 [209/278]@CLINICAL NEUROLOGY 临床神经病学 | 4 [113/185]@PEDIATRICS 儿科"
"EXPERIMENTAL ECONOMICS","1386-4157","1573-6938","SSCI","1.7","1.7","0.0","Q2@ECONOMICS","经济学","3 [185/765]","","3 [170/599]@ECONOMICS 经济学"
"HEALTH EDUCATION JOURNAL","0017-8969","1748-8176","SSCI","1.7","1.2","0.5","Q2@EDUCATION & EDUCATIONAL RESEARCH | Q3@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","教育学","4 [549/840]","","4 [502/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究 | 4 [290/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Infection Disease & Health","2468-0451","2468-0451","ESCI","1.7","2","-0.3","Q3@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","3 [1812/5603]","","3 [138/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Journal of Empirical Research on Human Research Ethics","1556-2646","1556-2654","SSCI, SCIE","1.7","1.1","0.6","Q2@ETHICS | Q3@MEDICAL ETHICS","哲学","3 [345/795]","","4 [55/77]@ETHICS 伦理学 | 4 [12/23]@MEDICAL ETHICS 医学：伦理"
"Lymphatic Research and Biology","1539-6851","1557-8585","SCIE","1.7","1.9","-0.2","Q3@MEDICINE, RESEARCH & EXPERIMENTAL | Q4@PHYSIOLOGY","医学","4 [3459/5603]","","4 [124/188]@MEDICINE, RESEARCH & EXPERIMENTAL 医学：研究与实验 | 4 [64/84]@PHYSIOLOGY 生理学"
"Quantitative Finance and Economics","2573-0134","2573-0134","ESCI","1.7","2.5","-0.8","Q3@BUSINESS, FINANCE","经济学","2 [117/765]","","3 [45/231]@BUSINESS, FINANCE 商业：财政与金融"
"ULTRASONIC IMAGING","0161-7346","1096-0910","SCIE","1.7","2.5","-0.8","Q2@ACOUSTICS | Q4@ENGINEERING, BIOMEDICAL | Q3@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","3 [1746/5603]","","3 [11/40]@ACOUSTICS 声学 | 3 [49/120]@ENGINEERING, BIOMEDICAL 工程：生物医学 | 3 [68/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"Apunts Educacion Fisica y Deportes","1577-4015","2014-0983","ESCI","1.7","1.5","0.2","Q2@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [530/840]","","4 [485/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","0167-9473","1872-7352","SCIE","1.7","1.6","0.1","Q4@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | Q2@STATISTICS & PROBABILITY","数学","3 [198/815]","","3 [40/166]@STATISTICS & PROBABILITY 统计学与概率论 | 4 [80/172]@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用"
"Dimensions of Critical Care Nursing","0730-4625","1538-8646","ESCI","1.7","1.4","0.3","Q3@NURSING","医学","4 [3434/5603]","","4 [100/191]@NURSING 护理"
"EDUCATIONAL GERONTOLOGY","0360-1277","1521-0472","SSCI","1.7","1.5","0.2","Q2@EDUCATION & EDUCATIONAL RESEARCH | Q3@GERONTOLOGY","医学","4 [3659/5603]","","4 [503/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究 | 4 [36/48]@GERONTOLOGY 老年医学（社科）"
"International Journal of Circumpolar Health","1239-9736","2242-3982","SCIE, SSCI","1.7","1.9","-0.2","Q3@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","4 [3435/5603]","","4 [268/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"International Journal on Digital Libraries","1432-5012","1432-1300","ESCI","1.7","1.7","0.0","Q2@INFORMATION SCIENCE & LIBRARY SCIENCE","管理学","4 [394/1025]","","4 [54/160]@INFORMATION SCIENCE & LIBRARY SCIENCE 图书情报与档案管理"
"TEACHING OF PSYCHOLOGY","0098-6283","1532-8023","SSCI","1.7","0.7","1.0","Q2@EDUCATION & EDUCATIONAL RESEARCH | Q2@PSYCHOLOGY, MULTIDISCIPLINARY","心理学","4 [535/657]","","4 [568/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究 | 4 [165/219]@PSYCHOLOGY, MULTIDISCIPLINARY 心理学：综合"
"Acta Orthopaedica et Traumatologica Turcica","1017-995X","2589-1294","SCIE","1.7","1","0.7","Q3@ORTHOPEDICS","医学","4 [3339/5603]","","4 [92/136]@ORTHOPEDICS 骨科"
"CRITICAL REVIEW","0891-3811","1933-8007","SSCI","1.7","1.7","0.0","Q2@POLITICAL SCIENCE","社会学","4 [965/2039]","","4 [219/317]@POLITICAL SCIENCE 政治学"
