"Journal","ISSN","EISSN","Web of Science","IF(2025)","IF(2024)","IF变化","JCR分区(学科)","中科院大类","中科院大类分区","Top期刊","中科院小类分区"
"Journal of Hematology & Oncology","N/A","1756-8722","SCIE","47.8","71.5","-23.7","Q1@HEMATOLOGY | Q1@ONCOLOGY","医学","1 [82/5603]","是","1 [3/96]@HEMATOLOGY 血液学 | 1 [12/318]@ONCOLOGY 肿瘤学"
"SCIENCE","0036-8075","1095-9203","SCIE","47.3","45.8","1.5","Q1@MULTIDISCIPLINARY SCIENCES","综合性期刊","1 [2/118]","是","1 [2/131]@MULTIDISCIPLINARY SCIENCES 综合性期刊"
"NATURE REVIEWS IMMUNOLOGY","1474-1733","1474-1741","SCIE","47.1","60.9","-13.8","Q1@IMMUNOLOGY","医学","1 [9/5603]","是","1 [1/179]@IMMUNOLOGY 免疫学"
"Nature Reviews Nephrology","1759-5061","1759-507X","SCIE","46.7","39.8","6.9","Q1@UROLOGY & NEPHROLOGY","医学","1 [20/5603]","是","1 [1/126]@UROLOGY & NEPHROLOGY 泌尿学与肾脏学"
"Nature Reviews Physics","N/A","2522-5820","SCIE","46.6","71.5","-24.9","Q1@PHYSICS, APPLIED | Q1@PHYSICS, MULTIDISCIPLINARY","物理与天体物理","1 [5/406]","是","1 [3/178]@PHYSICS, APPLIED 物理：应用 | 1 [2/111]@PHYSICS, MULTIDISCIPLINARY 物理：综合"
"EUROPEAN HEART JOURNAL","0195-668X","1522-9645","SCIE","45.3","35.6","9.7","Q1@CARDIAC & CARDIOVASCULAR SYSTEMS","医学","1 [55/5603]","是","1 [4/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统"
"CELL","0092-8674","1097-4172","SCIE","45.1","42.5","2.6","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q1@CELL BIOLOGY","生物学","1 [3/1091]","是","1 [2/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 1 [4/203]@CELL BIOLOGY 细胞生物学"
"JOURNAL OF CLINICAL ONCOLOGY","0732-183X","1527-7755","SCIE","44.7","41.9","2.8","Q1@ONCOLOGY","医学","1 [44/5603]","是","1 [8/318]@ONCOLOGY 肿瘤学"
"NATURE BIOTECHNOLOGY","1087-0156","1546-1696","SCIE","44.5","41.7","2.8","Q1@BIOTECHNOLOGY & APPLIED MICROBIOLOGY","生物学","1 [16/1091]","是","1 [2/174]@BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物"
"iMeta","2770-5986","2770-596X","SCIE","44.4","33.2","11.2","Q1@MICROBIOLOGY","生物学","1 [71/1091]","是","1 [11/159]@MICROBIOLOGY 微生物学"
